,title,artist,id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id.1,uri,track_href,analysis_url,duration_ms,time_signature,original_df,kmean_cluster,db_cluster
4534,Paper Bubble,RJD2,1hc75oVvLYMCzbhWEWRLam,0.189,0.282,8.0,-14.215,1.0,0.0397,0.232,0.201,0.174,0.0613,118.703,audio_features,1hc75oVvLYMCzbhWEWRLam,spotify:track:1hc75oVvLYMCzbhWEWRLam,https://api.spotify.com/v1/tracks/1hc75oVvLYMCzbhWEWRLam,https://api.spotify.com/v1/audio-analysis/1hc75oVvLYMCzbhWEWRLam,170600.0,4.0,not_hot,0,0
4535,All Rooms Cable A/C Free Coffee,The Extra Glenns,2MWZM9tQ5nhIcLmdlfLdug,0.531,0.412,4.0,-11.25,1.0,0.038,0.589,0.0584,0.22,0.808,154.119,audio_features,2MWZM9tQ5nhIcLmdlfLdug,spotify:track:2MWZM9tQ5nhIcLmdlfLdug,https://api.spotify.com/v1/tracks/2MWZM9tQ5nhIcLmdlfLdug,https://api.spotify.com/v1/audio-analysis/2MWZM9tQ5nhIcLmdlfLdug,108213.0,4.0,not_hot,2,-1
4536,El Coyote,Voces Del Rancho,5PLyKMJBFmmQCYvNJWRfiy,0.727,0.86,8.0,-3.453,1.0,0.0425,0.144,2.64e-06,0.0938,0.947,107.343,audio_features,5PLyKMJBFmmQCYvNJWRfiy,spotify:track:5PLyKMJBFmmQCYvNJWRfiy,https://api.spotify.com/v1/tracks/5PLyKMJBFmmQCYvNJWRfiy,https://api.spotify.com/v1/audio-analysis/5PLyKMJBFmmQCYvNJWRfiy,152320.0,4.0,not_hot,3,0
4537,Lost It All,Dark Distant Spaces,47QjR51AGaPxeJluDK488D,0.635,0.582,10.0,-10.859,0.0,0.0292,0.0292,0.178,0.0834,0.544,100.019,audio_features,47QjR51AGaPxeJluDK488D,spotify:track:47QjR51AGaPxeJluDK488D,https://api.spotify.com/v1/tracks/47QjR51AGaPxeJluDK488D,https://api.spotify.com/v1/audio-analysis/47QjR51AGaPxeJluDK488D,280720.0,4.0,not_hot,3,0
4538,Transcendence,Dinky,3whqZIvwSPH05y0ftchh9H,0.627,0.486,5.0,-15.018,1.0,0.0288,0.0546,0.916,0.108,0.541,103.889,audio_features,3whqZIvwSPH05y0ftchh9H,spotify:track:3whqZIvwSPH05y0ftchh9H,https://api.spotify.com/v1/tracks/3whqZIvwSPH05y0ftchh9H,https://api.spotify.com/v1/audio-analysis/3whqZIvwSPH05y0ftchh9H,98293.0,4.0,not_hot,6,0
4539,Zombie,Andrew Spencer & The Vamprockerz,5JEjYIN6mO1CKsNSKfHx7l,0.734,0.999,1.0,-4.879,1.0,0.0721,0.00367,0.000319,0.35,0.486,138.035,audio_features,5JEjYIN6mO1CKsNSKfHx7l,spotify:track:5JEjYIN6mO1CKsNSKfHx7l,https://api.spotify.com/v1/tracks/5JEjYIN6mO1CKsNSKfHx7l,https://api.spotify.com/v1/audio-analysis/5JEjYIN6mO1CKsNSKfHx7l,228424.0,4.0,not_hot,5,0
4541,Santa's Coming Over To Your House,Brooks & Dunn,1sMuVdFFquluFIfImqFMm1,0.607,0.936,6.0,-6.026,0.0,0.0655,0.0286,0.0,0.129,0.759,130.139,audio_features,1sMuVdFFquluFIfImqFMm1,spotify:track:1sMuVdFFquluFIfImqFMm1,https://api.spotify.com/v1/tracks/1sMuVdFFquluFIfImqFMm1,https://api.spotify.com/v1/audio-analysis/1sMuVdFFquluFIfImqFMm1,150907.0,4.0,not_hot,5,0
4543,My Donald,Rachel Unthank And The Winterset,6hPaOkgc74DkFIVIbW1mzn,0.256,0.13,4.0,-11.112,1.0,0.041,0.924,9.73e-05,0.369,0.294,82.812,audio_features,6hPaOkgc74DkFIVIbW1mzn,spotify:track:6hPaOkgc74DkFIVIbW1mzn,https://api.spotify.com/v1/tracks/6hPaOkgc74DkFIVIbW1mzn,https://api.spotify.com/v1/audio-analysis/6hPaOkgc74DkFIVIbW1mzn,486200.0,3.0,not_hot,7,0
4544,Wish,Lighthouse Family,0czTcT7vS6sujF6yKST5Cp,0.666,0.688,1.0,-6.436,1.0,0.0242,0.228,0.0,0.111,0.384,98.298,audio_features,0czTcT7vS6sujF6yKST5Cp,spotify:track:0czTcT7vS6sujF6yKST5Cp,https://api.spotify.com/v1/tracks/0czTcT7vS6sujF6yKST5Cp,https://api.spotify.com/v1/audio-analysis/0czTcT7vS6sujF6yKST5Cp,317467.0,4.0,not_hot,1,0
4545,It's Not You (Live),Halestorm,4qC1L57jR1F4vy7gjsmVJo,0.295,0.867,11.0,-7.183,1.0,0.214,0.129,0.000442,0.838,0.0989,125.081,audio_features,4qC1L57jR1F4vy7gjsmVJo,spotify:track:4qC1L57jR1F4vy7gjsmVJo,https://api.spotify.com/v1/tracks/4qC1L57jR1F4vy7gjsmVJo,https://api.spotify.com/v1/audio-analysis/4qC1L57jR1F4vy7gjsmVJo,355547.0,4.0,not_hot,11,0
